"zcta","medincome","total_pop1","median_rent","total_hholds1","over16total_industry1","total_commute1","drove_commute","pubtrans_bus_commute","taxi_commute","bicycle_commute","walked_commute","workhome_commute","unemployed","hisplat_raceethnic","nonhispLat_white_raceethnic","nonhispLat_black_raceethnic","nonhispLat_amerindian_raceethnic","nonhispLat_asian_raceethnic","age65_plus","not_insured","snap_hholds","fpl_150","not_quarantined_jobs","Positive","Total","modzcta_cum_perc_pos","total_res_volume_zcta","essentialworker_drove","essentialworker_pubtrans","grocers","pop_density","avg_hhold_size","pos_per_100000","testing_ratio","res_vol_zctadensity","res_vol_popdensity","pubtrans_ferrysubway_commute","grocers_per_1000","valid_var","didnot_workhome_commute","one_over_grocers_per_1000","one_over_medincome","Borough","Neighborhood"
"10001",88526,22924,2065,12431,14360,14265,4.08,2.93,2.24,3.74,32.21,6.44,4.76,14.16,53.14,5.62,0.16,25,736,4.31,9.67,18.79,12.08,365,2373,15.4,189531659.342359,0.63,6.3,4,0.0012433945343379,1.84,1592,0.103515965800035,10.2801705335143,0.000120950769278031,44.25,0.174489617867737,"0",0.15527950310559,5.731,1.12961163951833e-05,NA,NA
"10002",35859,74993,963,33540,33532,32804,8.64,6.04,1.13,4.94,25.56,4.24,7.54,27.19,21.96,7,0.44,41.13,1110,5.9,32.61,42.31,18.73,1053,5047,20.9,273144173.767362,1.46,10.15,9,0.00305449939209828,2.24,1404,0.0672996146306989,11.1252878632351,0.000274554638913411,47.48,0.120011201045431,"0",0.235849056603774,8.33255555555556,2.78870018684291e-05,NA,NA
"10003",112131,54682,2298,26124,32394,32054,5.89,2.7,2.83,4.3,27.06,7.68,6.01,8.24,70.45,5.41,0.1,13.47,1778,3.9,2.36,9.08,12.95,450,3697,12.2,276846549.492187,1.01,5.85,12,0.00339112757689663,2.09,823,0.0676090852565744,17.1687569685021,0.000197517361514174,46.9,0.219450641893128,"0",0.130208333333333,4.55683333333333,8.91814038936601e-06,NA,NA
"10004",157645,3028,3235,1659,2076,2065,8.47,0.53,0.77,0.29,24.36,11.77,4.67,3.7,60.57,1.55,0,29.69,78,4.92,0,3.14,12.25,31,256,12.1,4856795.38465288,1.88,5.3,1,0.000736485921151513,1.83,1024,0.0845442536327609,1.1812950537353,0.000623456365810316,51.96,0.330250990752972,"0",0.0849617672047579,3.028,6.34336642456151e-06,NA,NA
"10005",173333,8831,3226,4374,6762,6697,1.81,0.91,1.08,0,29.91,4.36,3.24,6.88,69.44,2.48,0,16.95,8,2.68,0,11.06,8.69,61,567,10.8,48242664.9013685,0.44,5.94,1,0.0042437429899918,2.02,691,0.0642056392254558,23.183045067796,0.000183053735071536,61.14,0.113237458951421,"0",0.229357798165138,8.831,5.76924186392666e-06,NA,NA
"10006",176250,3454,3229,1794,2647,2574,4.9,0,0.62,1.24,29.68,7.03,0.6,11.99,63.2,1.04,0,19.89,16,2.08,0,5.56,11.55,24,258,9.3,27913078.76907,0,9.6,0,0.00127403007360281,1.93,695,0.0746960046323104,10.295918297232,0.000123741276574167,54.74,0,"0",0.142247510668563,0,5.67375886524823e-06,NA,NA
"10007",246813,7023,3394,2731,3813,3813,6.19,1.97,5.59,2.31,25.54,4.67,2.88,8.26,71.99,4.19,0,11.76,107,0.58,2.31,4.29,11.22,58,611,9.5,39804959.2421893,1.81,4.62,2,0.00138756020565206,2.57,826,0.0869998576107077,7.86441370241551,0.000176435301874554,50.56,0.284778584650434,"0",0.214132762312634,3.5115,4.05165043980665e-06,NA,NA
"10009",61548,57925,1642,29728,32075,31458,5.08,9.92,2.16,6.92,20.45,6.02,4.18,24.77,51.23,8.52,0.07,12.82,1782,5.61,16.49,30.54,14.43,689,4627,14.9,262502455.594997,1.37,8.16,6,0.00342481992571946,1.95,1189,0.0798791540785499,15.5204771769017,0.000220664602427072,48.38,0.103582218385844,"0",0.166112956810631,9.65416666666667,1.62474816403457e-05,NA,NA
"10010",117923,33730,2590,16390,20602,20577,5.51,8.91,2.41,3.65,25.6,6.84,4.17,10.98,63.95,5.12,0.68,17.12,1310,3.55,4.91,14.67,13.62,267,2771,9.6,192460847.867346,1.46,6.31,8,0.00320606774697421,2.06,792,0.0821523865994663,18.2935818826804,0.00017525642422218,44.48,0.237177586718055,"0",0.146198830409357,4.21625,8.48010990222433e-06,NA,NA
"10011",128613,50472,2115,29128,33579,32943,6.3,1.79,3.14,2.63,24.96,7.03,3.86,11.3,71.48,4.72,0,9.17,2755,3.69,6.92,14.01,12.29,521,3829,13.6,268472660.642911,0.74,6.29,10,0.00290778531980649,1.73,1032,0.0758638453003646,15.4672067955866,0.00018799679594613,51.76,0.198129656046917,"0",0.142247510668563,5.0472,7.77526377582359e-06,NA,NA
