time step_x,Manhattan0,time step_y,Manhattan1,time step_x,Manhattan2,time step_y,Manhattan3,time step_x,Manhattan4,time step_y,Manhattan5,time step_x,Manhattan6,time step_y,Manhattan7,time step_x,Manhattan8,time step_y,Manhattan9,time step_x,Manhattan10,time step_y,Manhattan11,time step_x,Manhattan12,time step_y,Manhattan13,time step_x,Manhattan14,time step_y,Manhattan15,time step_x,Manhattan16,time step_y,Manhattan17,time step_x,Manhattan18,time step_y,Manhattan19,time step_x,Manhattan20,time step_y,Manhattan21,time step_x,Manhattan22,time step_y,Manhattan23,time step_x,Manhattan24,time step_y,Manhattan25,time step_x,Manhattan26,time step_y,Manhattan27,time step_x,Manhattan28,time step_y,Manhattan29,time step_x,Manhattan30,time step_y,Manhattan31,time step_x,Manhattan32,time step_y,Manhattan33,time step_x,Manhattan34,time step_y,Manhattan35,time step_x,Manhattan36,time step_y,Manhattan37,time step_x,Manhattan38,time step_y,Manhattan39,time step_x,Manhattan40,time step_y,Manhattan41,time step_x,Manhattan42,time step_y,Manhattan43,time step_x,Manhattan44,time step_y,Manhattan45,time step_x,Manhattan46,time step_y,Manhattan47,time step_x,Manhattan48,time step_y,Manhattan49,time step_x,Manhattan50,time step_y,Manhattan51,time step_x,Manhattan52,time step_y,Manhattan53,time step_x,Manhattan54,time step_y,Manhattan55,time step_x,Manhattan56,time step_y,Manhattan57,time step_x,Manhattan58,time step_y,Manhattan59,time step_x,Manhattan60,time step_y,Manhattan61,time step_x,Manhattan62,time step_y,Manhattan63,time step_x,Manhattan64,time step_y,Manhattan65,time step_x,Manhattan66,time step_y,Manhattan67,time step_x,Manhattan68,time step_y,Manhattan69,time step_x,Manhattan70,time step_y,Manhattan71,time step_x,Manhattan72,time step_y,Manhattan73,time step_x,Manhattan74,time step_y,Manhattan75,time step_x,Manhattan76,time step_y,Manhattan77,time step_x,Manhattan78,time step_y,Manhattan79,time step_x,Manhattan80,time step_y,Manhattan81,time step_x,Manhattan82,time step_y,Manhattan83,time step_x,Manhattan84,time step_y,Manhattan85,time step_x,Manhattan86,time step_y,Manhattan87,time step_x,Manhattan88,time step_y,Manhattan89,time step_x,Manhattan90,time step_y,Manhattan91,time step_x,Manhattan92,time step_y,Manhattan93,time step_x,Manhattan94,time step_y,Manhattan95,time step_x,Manhattan96,time step_y,Manhattan97,time step_x,Manhattan98,time step_y,Manhattan99
1.0,0.0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2.0,0.0,2.0,0.0,2.0,0.0,2,1,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
3.0,0.0,3.0,0.0,3.0,1.0,3,0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0
4.0,0.0,4.0,0.0,4.0,0.0,4,0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,3.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,1.0,4.0,0.0,4.0,3.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0
5.0,0.0,5.0,0.0,5.0,0.0,5,0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,5.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,1.0,5.0,4.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,5.0,0.0,5.0,4.0,5.0,0.0,5.0,0.0
6.0,0.0,6.0,0.0,6.0,0.0,6,0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,2.0,6.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,2.0,6.0,0.0,6.0,0.0,6.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,1.0,6.0,4.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,3.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,2.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
7.0,1.0,7.0,0.0,7.0,1.0,7,0,7.0,0.0,,,7.0,0.0,7.0,3.0,7.0,2.0,7.0,0.0,7.0,0.0,7.0,2.0,7.0,1.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,2.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,2.0,7.0,0.0,7.0,0.0,7.0,3.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,7.0,2.0,7.0,0.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,2.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,2.0,7.0,3.0,7.0,0.0,7.0,0.0,7.0,1.0,7.0,0.0,7.0,3.0,7.0,0.0,7.0,0.0,7.0,2.0,7.0,0.0,7.0,2.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,0.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0,7.0,0.0,7.0,4.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,2.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0
8.0,1.0,8.0,0.0,8.0,1.0,8,0,8.0,0.0,,,8.0,0.0,8.0,4.0,8.0,3.0,8.0,0.0,8.0,0.0,8.0,3.0,8.0,1.0,8.0,1.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,1.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,2.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,3.0,8.0,0.0,8.0,0.0,8.0,4.0,8.0,1.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,4.0,8.0,0.0,8.0,2.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,0.0,8.0,2.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,0.0,8.0,2.0,8.0,0.0,8.0,1.0,8.0,3.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,0.0,8.0,3.0,,,8.0,1.0,8.0,1.0,8.0,0.0,8.0,2.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,0.0,8.0,5.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,0.0,8.0,2.0,8.0,0.0,8.0,2.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0,8.0,1.0,8.0,0.0,8.0,1.0,8.0,0.0,8.0,0.0
9.0,0.0,9.0,1.0,9.0,1.0,9,0,9.0,0.0,,,9.0,0.0,9.0,3.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,4.0,9.0,0.0,9.0,1.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,3.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,2.0,9.0,0.0,9.0,0.0,9.0,5.0,9.0,1.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0,9.0,2.0,9.0,0.0,9.0,2.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,2.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0,9.0,1.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0,9.0,3.0,9.0,0.0,9.0,1.0,9.0,2.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0,9.0,6.0,,,9.0,1.0,9.0,0.0,9.0,0.0,9.0,2.0,9.0,0.0,9.0,2.0,9.0,1.0,9.0,0.0,9.0,8.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,2.0,9.0,1.0,9.0,0.0,9.0,2.0,9.0,0.0,9.0,2.0,9.0,1.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,2.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0
10.0,1.0,10.0,1.0,10.0,1.0,10,2,10.0,0.0,,,10.0,0.0,10.0,3.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,2.0,10.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,3.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,2.0,10.0,0.0,10.0,0.0,10.0,6.0,10.0,2.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,6.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,2.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,2.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,2.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,0.0,10.0,4.0,10.0,0.0,10.0,2.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,7.0,,,10.0,1.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,7.0,10.0,4.0,10.0,0.0,10.0,7.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,1.0,,,10.0,2.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,2.0,10.0,0.0
