"Manhattan","Bronx","Brooklyn","Queens","StatenIsland"
1548650,1348020,2435030,2143750,453345
1548700,1347850,2435480,2143460,452991
1548790,1347750,2434970,2144050,452979
1549100,1347740,2436200,2144600,453254
1548450,1347850,2434670,2143890,452973
1549140,1347900,2434650,2144240,453481
1548040,1347840,2434480,2143110,452807
1548470,1348440,2435100,2144600,453061
1547980,1348110,2434720,2144290,452980
1549010,1347680,2435460,2144040,453228
1548420,1348220,2435020,2145020,452884
1548850,1348570,2435280,2144120,452837
1548770,1348320,2434690,2143240,453012
1549450,1347670,2434980,2144260,452662
1548910,1348160,2434200,2144090,453014
1548580,1347940,2433660,2143870,453374
1548620,1347300,2434790,2143510,452844
1548840,1347610,2434330,2143200,452940
1548420,1347610,2435170,2143580,452997
1548670,1347560,2434650,2143360,452776
1549110,1348000,2434670,2143620,452769
1549070,1348170,2434580,2143360,452981
1548490,1347630,2435180,2144490,453086
1548790,1348330,2434860,2143880,452996
1548520,1348060,2434840,2144070,452902
1548520,1347690,2434720,2143760,452915
1547940,1348200,2434720,2144420,453223
1548840,1347810,2435550,2142890,453135
1548880,1346910,2435450,2144280,453206
1548180,1348630,2434730,2143490,452779
1548530,1347840,2435250,2144160,452827
1548270,1347520,2434660,2143690,453245
1548760,1347430,2435540,2143790,453055
1548800,1347820,2434040,2144180,453024
1547640,1347490,2434780,2143100,452648
1548910,1347960,2435440,2144060,453030
1548490,1347680,2435020,2143710,452699
1548270,1347440,2435480,2143390,453109
1549080,1348300,2434560,2144120,452913
1548600,1347930,2434820,2144070,452712
1548640,1347360,2435320,2143770,452753
1549140,1348150,2435110,2143090,453108
1548680,1347580,2434630,2143510,452651
1548150,1347820,2435330,2143970,452869
1548990,1347330,2434600,2144200,452911
1548900,1347660,2434270,2144140,453556
1547930,1347430,2435020,2143970,453019
1549020,1348310,2435380,2143950,452977
1548250,1348190,2435510,2143990,452610
1548570,1347820,2434220,2144280,452891
1549110,1347870,2435450,2144020,453253
1549410,1348020,2435240,2143610,453361
1548600,1347600,2435250,2144500,453017
1548620,1347810,2436570,2144080,453152
1548300,1347840,2434870,2144360,452816
1548860,1348810,2435680,2143750,453112
1548990,1347640,2435090,2143470,453171
1548250,1348200,2435270,2144320,453033
1547910,1348390,2434660,2144650,453116
1547990,1347650,2434340,2143870,453163
1549140,1347580,2435440,2144460,453435
1549660,1348000,2434530,2143910,453005
1548620,1347840,2435300,2144550,453227
1549890,1347520,2434950,2144150,453286
1548950,1347170,2435140,2143850,453042
1548330,1347330,2434760,2144230,452805
1548800,1347290,2435040,2144330,452812
1548990,1347950,2434760,2143910,453070
1548390,1347960,2434500,2144320,452992
1548280,1348420,2434590,2143340,452934
1548740,1348490,2435330,2144020,453139
1547920,1347640,2434360,2144740,452771
1548410,1347140,2434940,2143840,452694
1548980,1347700,2434620,2143930,452990
1548580,1347760,2435270,2143580,452812
1549290,1347780,2434930,2143590,452981
1548110,1347630,2434360,2144180,452993
1548020,1347030,2434470,2143150,453000
1548330,1348020,2434900,2143780,453073
1548610,1347420,2435130,2142840,452841
1548480,1347400,2434480,2143210,452705
1547800,1347580,2434490,2143470,452820
1548330,1348080,2435220,2143880,453359
1548420,1347860,2435410,2143390,453147
1549390,1347130,2435020,2144580,452687
1548870,1347700,2434170,2144060,452952
1548440,1347750,2434860,2144030,453011
1549050,1347420,2434000,2142550,453106
1548910,1347480,2435030,2144290,453180
1548920,1347740,2434960,2143790,453146
1549430,1347720,2435280,2143940,453120
1548680,1348160,2435200,2143680,452941
1548510,1347470,2435650,2144000,453125
1548100,1347770,2433990,2143940,453211
1548540,1348300,2435020,2143500,452629
1548290,1348560,2434880,2143530,453389
1548410,1347840,2435590,2144430,452872
1548590,1347870,2435490,2143950,452888
1548370,1348300,2434860,2143620,453406
1548400,1347740,2434610,2144990,453372
