"Manhattan","Bronx","Brooklyn","Queens","StatenIsland"
1548040,1347790,2435050,2143960,453099
1548140,1347780,2433700,2143810,452681
1548300,1348050,2434960,2143600,453189
1548990,1348180,2434510,2144270,453133
1548850,1347790,2435760,2143950,453199
1547660,1348910,2435310,2143270,452950
1549220,1348180,2435820,2143660,452679
1548450,1347570,2435380,2144520,452703
1549010,1347510,2435220,2143760,453008
1548560,1347600,2435380,2142640,452889
1549000,1348220,2434700,2143810,452821
1548710,1347280,2435230,2143650,453238
1548510,1347720,2435000,2143900,452945
1548820,1347650,2435990,2143600,452420
1548650,1348290,2435480,2143960,452686
1548460,1347230,2435620,2143280,452813
1548560,1348010,2434720,2144300,452616
1548010,1347540,2434170,2144150,453188
1548190,1348460,2435470,2144440,452710
1548500,1347330,2436260,2144170,453068
1548640,1348290,2435790,2144160,452943
1548270,1347940,2434600,2143820,453126
1548950,1347550,2434380,2144330,452802
1548820,1347940,2435890,2144040,453046
1548950,1348160,2434860,2144280,452961
1549270,1348450,2435680,2144660,452988
1548180,1347150,2435200,2143430,452948
1548430,1347700,2434470,2144400,452674
1548440,1348210,2434970,2144120,453247
1548720,1348220,2434690,2143370,453021
1548750,1348580,2436110,2143740,452688
1548350,1347330,2435350,2143970,453353
1548600,1347730,2434620,2144490,452877
1548420,1347820,2434950,2144390,452693
1548860,1348040,2434390,2143360,453126
1548730,1347980,2435370,2143450,452637
1549040,1347520,2435740,2143440,452988
1548930,1347580,2435280,2142990,453171
1548710,1347290,2434840,2143770,453283
1548980,1347340,2433830,2143910,452830
1549110,1347310,2435300,2144110,452990
1548820,1347020,2435150,2143640,453068
1549280,1347550,2435880,2143300,452656
1548890,1348740,2434730,2143520,453177
1548710,1348230,2435230,2143220,453133
1548990,1347800,2434980,2144250,453337
1549040,1347540,2435140,2144170,453267
1548540,1347790,2435270,2142730,452754
1549130,1347910,2434960,2143350,452975
1548180,1347430,2434720,2142800,452723
1549000,1346890,2434970,2144040,452909
1548250,1348190,2434490,2143720,453395
1548880,1347800,2435350,2144590,452881
1548450,1347540,2435140,2143540,453004
1548020,1347380,2435130,2145010,453110
1548710,1348260,2434760,2143270,452798
1548430,1347550,2434590,2143970,453133
1548280,1347690,2434790,2144080,452912
1548810,1347390,2434590,2143230,452927
1547750,1348070,2434660,2143730,452794
1549230,1347390,2436000,2143630,453092
1548150,1348010,2434210,2143430,452760
1548750,1347580,2436260,2143380,453303
1548710,1347910,2434480,2143590,453284
1548280,1347860,2434730,2144780,453166
1548790,1347170,2434230,2143610,452801
1549510,1347920,2435770,2143990,452864
1548720,1348090,2435580,2143160,452985
1548460,1348030,2435170,2144170,452644
1548870,1347480,2434920,2144110,452968
1548740,1347120,2435760,2144100,452727
1548280,1347500,2434900,2143380,452811
1548230,1347540,2435200,2143590,452968
1549250,1348330,2435140,2144240,453393
1548450,1348170,2434400,2144250,452693
1548720,1347540,2435540,2144010,452849
1549120,1348110,2435340,2143030,453325
1548740,1347560,2435550,2144460,453129
1548860,1347860,2434620,2144410,452802
1548660,1348020,2435230,2143720,453231
1548800,1347780,2435780,2144710,452959
1548700,1347740,2434930,2144180,453136
1548490,1348250,2435010,2143870,452663
1548630,1347560,2434800,2144440,453078
1548210,1348050,2435410,2143650,452792
1548670,1347470,2434400,2143760,453076
1548260,1347690,2434890,2143740,453003
1548870,1347850,2434980,2144160,452866
1548820,1347600,2435620,2143760,453330
1548690,1347150,2434560,2143610,453015
1548660,1347390,2435310,2143930,453122
1548940,1347800,2435260,2143610,452920
1548600,1347270,2434930,2143950,452926
1548510,1347930,2435080,2144200,453081
1548550,1347000,2434340,2144310,453166
1548370,1348210,2435300,2144040,452979
1548750,1347890,2434080,2143460,452662
1549170,1347770,2435690,2144230,453034
1549030,1347980,2434690,2143380,453015
1548860,1348260,2434680,2143360,453275
