"Manhattan","Bronx","Brooklyn","Queens"
1595300,1288470,2319590,2040870
1594520,1290480,2320750,2042520
1591070,1291980,2321280,2042780
1594340,1289420,2320570,2043330
1592900,1290670,2319810,2043070
1591160,1291190,2320220,2045090
1595080,1287650,2319200,2040650
1595090,1289100,2318760,2042740
1593220,1290460,2321150,2044490
1590680,1291750,2321030,2045120
1592480,1291220,2320520,2043510
1594320,1290260,2320080,2043980
1595040,1289210,2319540,2043190
1596180,1287810,2319040,2040650
1595250,1288640,2319350,2041480
1589770,1291390,2320090,2043680
1592870,1291910,2321340,2042720
1593150,1290540,2320680,2044550
1594900,1288400,2319560,2043060
1590470,1291830,2320970,2043400
1594370,1290040,2319700,2043180
1595580,1287590,2319130,2042340
1595400,1289080,2318370,2042140
1595190,1288560,2320160,2042530
1584390,1291530,2322210,2043960
1595420,1288390,2319660,2043120
1594570,1289380,2317540,2042680
1586480,1291570,2321030,2044790
1594580,1289610,2319140,2043370
1593270,1290000,2320110,2044800
1593030,1289450,2320990,2042940
1593150,1290340,2321310,2043650
1593570,1290430,2320070,2043380
1593190,1290350,2319300,2043440
1594130,1289250,2319790,2043060
1596030,1287890,2320720,2040460
1593820,1291180,2320010,2043960
1594660,1290880,2320100,2042540
1591510,1291430,2321140,2043430
1594020,1290410,2320790,2044040
1594860,1288320,2319320,2041880
1594150,1290400,2320170,2043740
1595440,1288020,2318150,2040820
1594890,1289500,2319980,2040910
1594030,1291040,2319540,2044460
1595950,1288500,2319110,2042930
1594980,1288510,2320310,2044330
1595750,1287090,2319590,2041690
1594710,1289000,2320280,2042760
1595750,1288690,2320530,2041820
1592650,1291690,2321500,2043970
1594690,1289040,2319460,2042080
1593630,1290640,2320650,2043410
1586640,1291640,2321960,2043800
1594840,1288400,2318810,2043270
1561340,1289420,2320060,2043060
1595260,1288530,2319350,2041260
1594650,1290010,2320060,2043680
1593740,1290150,2319960,2043000
1591560,1292140,2321850,2044350
1594860,1288840,2320740,2042440
1587440,1292110,2322880,2044060
1595380,1287680,2319530,2041990
1596050,1288490,2317650,2042380
1593820,1290230,2320780,2042940
1594150,1289480,2319530,2043370
1595850,1288030,2318670,2043300
1595440,1287100,2317800,2041700
1590830,1291290,2322070,2044710
1591240,1292200,2321480,2044640
1592750,1290690,2320770,2043970
1594180,1290320,2320580,2042620
1594820,1289520,2320830,2043360
1575080,1290780,2321220,2044270
1594060,1289830,2320790,2044140
1593870,1290580,2319810,2042720
1592300,1291790,2320610,2043060
1595950,1287190,2319030,2041000
1594110,1289120,2320760,2042900
1595920,1287650,2318300,2041450
1594290,1289380,2320620,2042450
1593460,1290400,2321060,2042530
1594790,1289950,2321190,2041670
1591120,1291070,2320770,2044550
1594320,1289340,2319660,2041040
1588220,1291730,2321520,2042460
1594470,1290030,2321610,2043380
1592940,1290940,2321360,2043680
1595690,1288810,2318280,2042170
1584580,1292080,2322220,2043340
1594360,1290130,2320680,2042530
1593520,1290530,2321110,2043750
1594350,1290400,2320430,2041540
1594490,1290180,2319400,2043530
1595150,1289840,2319720,2040640
1591950,1290630,2319540,2044330
1594750,1289680,2318670,2043920
1594910,1290090,2319490,2042960
1595570,1287900,2317670,2040560
1592410,1291230,2320700,2044060
