ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
2,Allerton,The Bronx,9419,1891,866,32450,15235,17215,6824,5659,11096,7178,10659,2648,26656,13809,5552,1170,5731,724,441,42.7,14263,11164,2485,572,42,667,78914,24908,36694,28157,2588,30648,POINT (1023161.223346606 254738.7655064315)
3,Annadale,Staten Island,10010,1637,682,28698,14069,14629,5927,4948,2025,25446,145,912,23671,13151,8874,730,3020,128,301,45.8,13408,9991,2942,456,19,373,111603,39343,51938,28089,609,28595,POINT (934621.6966858655 135376.6311996877)
4,Arden Heights,Staten Island,9095,1500,550,26482,13082,13400,5927,3647,3353,20642,394,1730,21150,12178,7718,1123,2787,26,453,46.1,12264,8732,2877,655,0,414,101280,35060,50729,25510,972,26445,POINT (932590.6872964352 139450.961961776)
5,Astoria,Queens,34325,12156,3364,77252,37588,39664,9783,9850,20787,38563,2870,12811,68317,44614,5361,1054,33055,2950,1216,37.9,46089,37992,4820,3252,25,2544,76138,35542,41127,66199,11053,77122,POINT (1007613.562840939 219276.4207488596)
6,Auburndale,Queens,6937,1315,690,20609,10181,10428,3832,3494,2732,7582,214,9507,17073,9723,4696,1064,3390,180,306,44.1,10078,8192,1413,451,22,267,92045,32589,40126,18509,2100,20577,POINT (1041936.765847936 216863.9098258466)
8,Bath Beach,Brooklyn,11428,2749,1221,33163,16686,16477,7103,4888,5861,14490,404,11975,26855,14389,3790,1119,8306,679,323,49.8,14857,11962,2019,867,9,895,75950,26894,36782,29449,3489,32959,POINT (984596.5084814429 157697.2338681072)
9,Battery Park City,Manhattan,22074,9552,1330,45737,22214,23523,6829,2735,3960,29642,1100,9687,39203,29924,1206,283,16429,9138,1746,25.1,30432,27190,1880,1362,0,1348,192766,96422,88365,43647,2070,44364,POINT (979573.3023205251 198652.9692136794)
10,Bay Ridge,Brooklyn,33487,12201,4079,79134,37829,41305,15110,12380,14134,50197,1511,11515,65479,38046,8905,2003,21679,3442,1566,43.4,38906,30113,6590,2130,73,2313,86319,37096,45447,72049,6933,78978,POINT (975750.0192846954 167274.0670766085)
11,Bayside,Queens,15673,3742,1453,44864,21722,23142,8320,7751,5992,18640,726,18741,37551,21637,11193,2381,6637,712,580,41.2,22341,17817,3506,984,34,602,97749,35575,44809,40362,4037,44395,POINT (1046777.524211019 218446.5752956867)
12,Bedford Stuyvesant,Brooklyn,26059,8119,2226,75318,36491,38827,22379,5816,14682,26407,30566,2290,54904,31494,3516,877,20058,4258,1275,38.7,32339,26105,4464,1712,58,3673,62616,22480,30495,68299,6689,74791,POINT (1000395.025112689 189658.8024907708)
13,Bedford Park,The Bronx,19364,5767,1480,55995,26934,29061,15006,4347,40184,3237,9285,2133,42293,22932,3407,794,15609,2218,620,41.7,23271,19442,2535,1270,24,3175,46892,17447,26354,47888,8096,55616,POINT (1015914.228982359 256330.3158010244)
75,Bay Terrace,Queens,9848,3685,1956,21945,10199,11746,3336,5661,3065,13404,143,4878,18858,9825,5745,471,2860,227,397,41,10084,7499,1844,691,50,519,92041,42232,53763,21098,847,21945,POINT (1046061.49217853 224566.3557070196)
75,Bay Terrace,Queens,9848,3685,1956,21945,10199,11746,3336,5661,3065,13404,143,4878,18858,9825,5745,471,2860,227,397,41,10084,7499,1844,691,50,519,92041,42232,53763,21098,847,21945,POINT (945577.3781865239 141139.9887674302)
14,Bellerose,Queens,8192,1727,883,26916,13117,13799,5690,3760,5502,7436,1705,11256,21707,12076,7046,965,3317,296,420,42.7,12373,9195,2412,756,10,532,87758,28020,39265,24137,2267,26372,POINT (1061819.706725031 204839.3354498595)
15,Belmont,The Bronx,9116,2810,663,29372,14071,15301,8177,1865,18281,5706,4359,553,22085,10262,1363,357,5829,1809,585,38.3,10614,9006,957,641,10,1959,35447,12279,14808,24744,4628,26576,POINT (1015107.155465275 251626.3609701097)
18,Bensonhurst,Brooklyn,52096,11367,5152,155913,75934,79979,32061,23178,21301,69006,1332,61990,127327,69054,13880,4389,42197,5548,1707,45.8,71042,59131,7832,4033,46,4686,68350,23520,29335,137475,18325,155631,POINT (985588.2820884436 161883.4443276823)
19,Borough Park,Brooklyn,27422,4461,2586,105913,54032,51881,41671,10746,10244,80190,946,13614,67904,35812,7052,3103,13286,9835,1731,34.7,36796,31786,2256,2699,55,2208,59062,15730,21292,96782,8798,105309,POINT (986887.3011439443 169943.0381166041)
20,Breezy Point,Queens,10825,3886,1308,28243,14407,13836,6245,5583,3469,21974,1726,667,22761,11977,7160,650,3117,409,364,46.6,12277,8129,3448,690,10,564,103538,41229,52336,25800,1564,27265,POINT (1004948.27781719 142361.609683767)
21,Briarwood,Queens,14269,4113,1152,42224,20596,21628,7971,5344,11399,7020,4892,16617,35221,20740,5752,863,12179,1354,394,45.2,21079,16844,2630,1600,5,936,75837,27311,34519,34984,6483,41263,POINT (1036440.005844101 198345.5393823534)
22,Brighton Beach,Brooklyn,14097,5217,3082,34157,16234,17923,6305,7804,3903,23746,261,5105,28462,13748,3247,726,7333,1733,478,44.8,14116,11618,1709,789,0,2781,61590,25916,32468,30103,3776,33879,POINT (993946.5111068636 149431.2992845178)
23,Bronxdale,The Bronx,13780,4203,1685,37595,18693,18902,8630,4974,21093,4241,10019,1221,30046,14857,3786,414,8889,1162,320,44.4,15324,12433,2220,648,23,2259,46315,18053,27137,31534,5581,37034,POINT (1022502.943167105 249977.663480103)
24,Brooklyn Heights,Brooklyn,11152,5026,1407,24140,12002,12138,3272,3214,1949,17461,1197,2327,21110,13654,632,112,9649,1474,1181,31,13873,11422,1421,1022,8,451,178252,82940,76945,22511,1629,22339,POINT (985974.1684557796 192798.4317101836)
25,Brownsville,Brooklyn,21552,7454,2301,60124,25026,35098,16611,6348,12214,740,45539,963,45400,19228,3127,719,13480,1272,341,48.5,19893,15343,3731,811,8,5683,37892,15543,24909,54105,5939,58644,POINT (1009153.467897609 181184.0205558538)
28,Bushwick,Brooklyn,45463,11632,3565,135837,67768,68069,29866,11341,82199,20135,24825,6555,109462,65016,7024,1283,46755,5112,2342,40.4,66122,55644,6377,4015,86,6457,59224,20933,28329,107167,28330,134862,POINT (1004975.11372152 193627.8237521797)
29,Cambria Heights,Queens,6081,1222,773,19546,8823,10723,3458,4010,1015,227,17681,138,16620,9347,5015,620,3383,86,170,48,9621,6686,2615,313,7,201,94177,31578,39777,17771,1755,19484,POINT (1057662.74751927 191783.858280018)
30,Canarsie,Brooklyn,28677,6292,1858,88367,38868,49499,20104,10327,5467,4048,74885,2509,70724,42150,14859,2260,22604,1272,666,49.4,42956,31128,10072,1736,20,2310,76268,25790,36582,79770,8140,87712,POINT (1011424.050954863 170844.7856569439)
31,Carroll Gardens,Brooklyn,18111,5470,1490,42463,20053,22410,8634,4538,8037,25780,4632,2261,34479,22465,1867,469,14564,2417,1850,36.6,22888,18114,2576,2190,8,1988,138368,59746,62054,39365,2662,41982,POINT (985732.8513531089 187215.6203692704)
34,Central Harlem,Manhattan,54260,22774,5642,135967,63506,72461,29277,12685,32104,17744,77583,4366,109121,60669,4739,1174,44904,4640,3671,36.6,61831,47649,10200,3955,27,8321,68855,29520,35195,121101,14263,135116,POINT (999969.0718963593 236564.307760939)
