"","zcta_o","zcta_d","pop_flows"
"1",0,1,399
"2",0,2,1679
"3",0,3,522
"4",0,4,0
"5",0,5,0
"6",0,6,846
"7",0,7,1455
"8",0,8,409
"9",0,9,122
"10",0,10,553
"11",0,11,629
"12",0,12,446
"13",0,13,820
"14",0,14,1125
"15",0,15,323
"16",0,16,344
"17",0,17,138
"18",0,18,337
"19",0,19,71
"20",0,20,74
"21",0,21,50
"22",0,22,173
"23",0,23,233
"24",0,24,31
"25",0,25,90
"26",0,26,61
"27",0,27,8
"28",0,28,42
"29",0,29,528
"30",0,30,116
"31",0,31,4
"32",0,32,12
"33",0,33,8
"34",0,34,100
"35",0,35,122
"36",0,36,41
"37",0,37,19
"38",0,38,0
"39",0,39,0
"40",0,40,0
"41",0,41,40
"42",0,42,14
"43",0,43,0
"44",0,44,12
"45",0,45,83
"46",0,46,30
"47",0,47,123
"48",0,48,60
"49",0,49,15
"50",0,50,21
"51",0,51,35
"52",0,52,66
"53",0,53,7
"54",0,54,7
"55",0,55,40
"56",0,56,56
"57",0,57,8
"58",0,58,5
"59",0,59,3
"60",0,60,11
"61",0,61,7
"62",0,62,8
"63",0,63,20
"64",0,64,133
"65",0,65,15
"66",0,66,317
"67",0,67,25
"68",0,68,30
"69",0,69,12
"70",0,70,54
"71",0,71,141
"72",0,72,18
"73",0,73,11
"74",0,74,89
"75",0,75,30
"76",0,76,73
"77",0,77,8
"78",0,78,56
"79",0,79,33
"80",0,80,97
"81",0,81,12
"82",0,82,24
"83",0,83,21
"84",0,84,11
"85",0,85,21
"86",0,86,12
"87",0,87,59
"88",0,88,0
"89",0,89,45
"90",0,90,3
"91",0,91,21
"92",0,92,18
"93",0,93,12
"94",0,94,32
"95",0,95,20
"96",0,96,5
"97",0,97,12
"98",0,98,7
"99",0,99,37
"100",0,100,50
"101",0,101,6
"102",0,102,7
"103",0,103,8
"104",0,104,7
"105",0,105,12
"106",0,106,21
"107",0,107,46
"108",0,108,36
"109",0,109,13
"110",0,110,63
"111",0,111,67
"112",0,112,13
"113",0,113,23
"114",0,114,38
"115",0,115,14
"116",0,116,40
"117",0,117,39
"118",0,118,8
"119",0,119,3
"120",0,120,8
"121",0,121,24
"122",0,122,8
"123",0,123,20
"124",0,124,34
"125",0,125,60
"126",0,126,5
"127",0,127,3
"128",0,128,2
"129",0,129,1991
"130",0,130,4098
"131",0,131,1951
"132",0,132,2851
"133",0,133,3402
"134",0,134,1354
"135",0,135,1176
"136",0,136,2740
"137",0,137,162
"138",0,138,289
"139",0,139,675
"140",0,140,596
"141",0,141,546
"142",0,142,1104
"143",0,143,448
"144",0,144,374
"145",0,145,274
"146",0,146,360
"147",0,147,124
"148",0,148,220
"149",0,149,296
"150",0,150,196
"151",0,151,609
"152",0,152,83
"153",0,153,74
"154",0,154,213
"155",0,155,90
"156",0,156,90
"157",0,157,191
"158",0,158,454
"159",0,159,41
"160",0,160,1372
"161",0,161,97
"162",0,162,36
"163",0,163,10
"164",0,164,190
"165",0,165,477
"166",0,166,95
"167",0,167,11
"168",0,168,13
"169",0,169,22
"170",0,170,9
"171",0,171,9
"172",0,172,19
"173",0,173,9
"174",0,174,36
"175",0,175,229
"176",0,176,26
"177",1,0,39
"178",1,2,101
"179",1,3,39
"180",1,4,0
"181",1,5,0
"182",1,6,69
"183",1,7,76
"184",1,8,10
"185",1,9,80
"186",1,10,27
"187",1,11,264
"188",1,12,28
"189",1,13,65
"190",1,14,24
"191",1,15,11
"192",1,16,10
"193",1,17,105
"194",1,18,31
"195",1,19,39
"196",1,20,33
"197",1,21,439
"198",1,22,22
"199",1,23,32
"200",1,24,23
"201",1,25,49
"202",1,26,62
"203",1,27,1051
"204",1,28,43
"205",1,29,185
"206",1,30,90
"207",1,31,464
"208",1,32,204
"209",1,33,36
"210",1,34,52
"211",1,35,73
"212",1,36,297
"213",1,37,43
"214",1,38,0
"215",1,39,0
"216",1,40,0
"217",1,41,151
"218",1,42,325
"219",1,43,0
"220",1,44,200
"221",1,45,448
"222",1,46,95
"223",1,47,66
"224",1,48,61
"225",1,49,133
"226",1,50,96
"227",1,51,69
"228",1,52,47
"229",1,53,93
"230",1,54,100
"231",1,55,124
"232",1,56,43
"233",1,57,58
"234",1,58,36
"235",1,59,26
"236",1,60,203
"237",1,61,40
"238",1,62,284
"239",1,63,119
"240",1,64,138
"241",1,65,17
"242",1,66,34
"243",1,67,13
"244",1,68,58
"245",1,69,11
"246",1,70,24
"247",1,71,23
"248",1,72,36
"249",1,73,48
"250",1,74,46
"251",1,75,189
"252",1,76,68
"253",1,77,195
"254",1,78,66
"255",1,79,108
"256",1,80,52
"257",1,81,215
"258",1,82,80
"259",1,83,22
"260",1,84,39
"261",1,85,118
"262",1,86,24
"263",1,87,10
"264",1,88,0
"265",1,89,94
"266",1,90,24
"267",1,91,145
"268",1,92,28
"269",1,93,41
"270",1,94,74
"271",1,95,10
"272",1,96,13
"273",1,97,1697
"274",1,98,713
"275",1,99,517
"276",1,100,460
"277",1,101,876
"278",1,102,2168
"279",1,103,1479
"280",1,104,2635
"281",1,105,126
"282",1,106,604
"283",1,107,777
"284",1,108,504
"285",1,109,481
"286",1,110,918
"287",1,111,632
"288",1,112,560
"289",1,113,166
"290",1,114,191
"291",1,115,70
"292",1,116,28
"293",1,117,108
"294",1,118,183
"295",1,119,137
"296",1,120,8
"297",1,121,51
"298",1,122,23
"299",1,123,27
"300",1,124,17
"301",1,125,56
"302",1,126,288
"303",1,127,131
"304",1,128,41
"305",1,129,4
"306",1,130,118
"307",1,131,196
"308",1,132,24
"309",1,133,171
"310",1,134,19
"311",1,135,39
"312",1,136,15
"313",1,137,9
"314",1,138,25
"315",1,139,8
"316",1,140,28
"317",1,141,15
"318",1,142,53
"319",1,143,47
"320",1,144,38
"321",1,145,29
"322",1,146,34
"323",1,147,12
"324",1,148,16
"325",1,149,30
"326",1,150,109
"327",1,151,15
"328",1,152,45
"329",1,153,21
"330",1,154,4
"331",1,155,9
"332",1,156,471
"333",1,157,38
"334",1,158,17
"335",1,159,13
"336",1,160,122
"337",1,161,33
"338",1,162,19
"339",1,163,34
"340",1,164,25
"341",1,165,161
"342",1,166,29
"343",1,167,50
"344",1,168,9
"345",1,169,35
"346",1,170,13
"347",1,171,49
"348",1,172,63
"349",1,173,4
"350",1,174,42
"351",1,175,45
"352",1,176,9
"353",2,0,16
"354",2,1,21
"355",2,3,9
"356",2,4,0
"357",2,5,0
"358",2,6,9
"359",2,7,59
"360",2,8,15
"361",2,9,22
"362",2,10,83
"363",2,11,3
"364",2,12,5
"365",2,13,3
"366",2,14,12
"367",2,15,23
"368",2,16,5
"369",2,17,30
"370",2,18,30
"371",2,19,21
"372",2,20,54
"373",2,21,12
"374",2,22,12
"375",2,23,9
"376",2,24,15
"377",2,25,26
"378",2,26,17
"379",2,27,12
"380",2,28,16
"381",2,29,16
"382",2,30,8
"383",2,31,19
"384",2,32,10
"385",2,33,15
"386",2,34,24
"387",2,35,52
"388",2,36,8
"389",2,37,748
"390",2,38,0
"391",2,39,0
"392",2,40,0
"393",2,41,93
"394",2,42,303
"395",2,43,0
"396",2,44,598
"397",2,45,190
"398",2,46,235
"399",2,47,279
"400",2,48,313
"401",2,49,285
"402",2,50,563
"403",2,51,243
"404",2,52,265
"405",2,53,83
"406",2,54,96
"407",2,55,64
"408",2,56,8
"409",2,57,4
"410",2,58,64
"411",2,59,55
"412",2,60,9
"413",2,61,30
"414",2,62,18
"415",2,63,188
"416",2,64,1396
"417",2,65,67
"418",2,66,1288
"419",2,67,21
"420",2,68,4
"421",2,69,9
"422",2,70,3
"423",2,71,3
"424",2,72,4
"425",2,73,11
"426",2,74,22
"427",2,75,16
"428",2,76,23
"429",2,77,17
"430",2,78,20
"431",2,79,8
"432",2,80,9
"433",2,81,8
"434",2,82,12
"435",2,83,17
"436",2,84,7
"437",2,85,15
"438",2,86,21
"439",2,87,69
"440",2,88,0
"441",2,89,14
"442",2,90,39
"443",2,91,35
"444",2,92,22
"445",2,93,15
"446",2,94,41
"447",2,95,55
"448",2,96,42
"449",2,97,60
"450",2,98,26
"451",2,99,60
"452",2,100,49
"453",2,101,45
"454",2,102,37
"455",2,103,8
"456",2,104,30
"457",2,105,12
"458",2,106,38
"459",2,107,4
"460",2,108,12
"461",2,109,53
"462",2,110,7
"463",2,111,18
"464",2,112,26
"465",2,113,17
