"","X","zcta_o","zcta_d","pop_flows"
"1",0,0,1,460
"2",1,0,2,1087
"3",2,0,3,745
"4",3,0,4,0
"5",4,0,5,0
"6",5,0,6,1128
"7",6,0,7,1311
"8",7,0,8,831
"9",8,0,9,35
"10",9,0,10,460
"11",10,0,11,557
"12",11,0,12,617
"13",12,0,13,1061
"14",13,0,14,1743
"15",14,0,15,440
"16",15,0,16,501
"17",16,0,17,312
"18",17,0,18,666
"19",18,0,19,82
"20",19,0,20,146
"21",20,0,21,173
"22",21,0,22,172
"23",22,0,23,192
"24",23,0,24,25
"25",24,0,25,67
"26",25,0,26,86
"27",26,0,27,65
"28",27,0,28,8
"29",28,0,29,68
"30",29,0,30,884
"31",30,0,31,10
"32",31,0,32,95
"33",32,0,33,25
"34",33,0,34,29
"35",34,0,35,21
"36",35,0,36,193
"37",36,0,37,177
"38",37,0,38,0
"39",38,0,39,0
"40",39,0,40,0
"41",40,0,41,27
"42",41,0,42,12
"43",42,0,43,0
"44",43,0,44,7
"45",44,0,45,22
"46",45,0,46,175
"47",46,0,47,33
"48",47,0,48,98
"49",48,0,49,38
"50",49,0,50,6
"51",50,0,51,127
"52",51,0,52,67
"53",52,0,53,59
"54",53,0,54,91
"55",54,0,55,7
"56",55,0,56,33
"57",56,0,57,26
"58",57,0,58,103
"59",58,0,59,10
"60",59,0,60,7
"61",60,0,61,18
"62",61,0,62,40
"63",62,0,63,28
"64",63,0,64,1
"65",64,0,65,8
"66",65,0,66,35
"67",66,0,67,34
"68",67,0,68,21
"69",68,0,69,20
"70",69,0,70,184
"71",70,0,71,23
"72",71,0,72,29
"73",72,0,73,11
"74",73,0,74,6
"75",74,0,75,314
"76",75,0,76,36
"77",76,0,77,26
"78",77,0,78,8
"79",78,0,79,125
"80",79,0,80,92
"81",80,0,81,50
"82",81,0,82,25
"83",82,0,83,16
"84",83,0,84,172
"85",84,0,85,46
"86",85,0,86,28
"87",86,0,87,16
"88",87,0,88,0
"89",88,0,89,27
"90",89,0,90,83
"91",90,0,91,7
"92",91,0,92,24
"93",92,0,93,28
"94",93,0,94,16
"95",94,0,95,21
"96",95,0,96,7
"97",96,0,97,25
"98",97,0,98,57
"99",98,0,99,12
"100",99,0,100,7
"101",100,0,101,23
"102",101,0,102,6
"103",102,0,103,35
"104",103,0,104,39
"105",104,0,105,30
"106",105,0,106,8
"107",106,0,107,25
"108",107,0,108,20
"109",108,0,109,40
"110",109,0,110,156
"111",110,0,111,7
"112",111,0,112,9
"113",112,0,113,4
"114",113,0,114,16
"115",114,0,115,14
"116",115,0,116,1
"117",116,0,117,14
"118",117,0,118,10
"119",118,0,119,54
"120",119,0,120,13
"121",120,0,121,5
"122",121,0,122,69
"123",122,0,123,102
"124",123,0,124,43
"125",124,0,125,30
"126",125,0,126,23
"127",126,0,127,17
"128",127,0,128,27
"129",128,0,129,38
"130",129,0,130,7
"131",130,0,131,12
"132",131,0,132,13
"133",132,0,133,26
"134",133,0,134,5
"135",134,0,135,7
"136",135,0,136,3
"137",136,0,137,7
"138",137,0,138,3
"139",138,0,139,75
"140",139,0,140,39
"141",140,0,141,25
"142",141,0,142,15
"143",142,0,143,8
"144",143,0,144,7
"145",144,0,145,7
"146",145,0,146,2290
"147",146,0,147,3995
"148",147,0,148,1708
"149",148,0,149,2949
"150",149,0,150,3464
"151",150,0,151,1291
"152",151,0,152,1004
"153",152,0,153,3019
"154",153,0,154,219
"155",154,0,155,287
"156",155,0,156,838
"157",156,0,157,694
"158",157,0,158,470
"159",158,0,159,1567
"160",159,0,160,723
"161",160,0,161,613
"162",161,0,162,199
"163",162,0,163,421
"164",163,0,164,90
"165",164,0,165,138
"166",165,0,166,270
"167",166,0,167,287
"168",167,0,168,918
"169",168,0,169,89
"170",169,0,170,119
"171",170,0,171,103
"172",171,0,172,62
"173",172,0,173,89
"174",173,0,174,248
"175",174,0,175,529
"176",175,0,176,30
"177",176,1,0,1528
"178",177,1,2,44
"179",178,1,3,34
"180",179,1,4,0
"181",180,1,5,0
"182",181,1,6,393
"183",182,1,7,97
"184",183,1,8,11
"185",184,1,9,67
"186",185,1,10,26
"187",186,1,11,13
"188",187,1,12,9
"189",188,1,13,16
"190",189,1,14,87
"191",190,1,15,310
"192",191,1,16,16
"193",192,1,17,100
"194",193,1,18,195
"195",194,1,19,96
"196",195,1,20,68
"197",196,1,21,36
"198",197,1,22,200
"199",198,1,23,24
"200",199,1,24,142
"201",200,1,25,59
"202",201,1,26,116
"203",202,1,27,119
"204",203,1,28,25
"205",204,1,29,15
"206",205,1,30,11
"207",206,1,31,130
"208",207,1,32,37
"209",208,1,33,106
"210",209,1,34,21
"211",210,1,35,39
"212",211,1,36,51
"213",212,1,37,47
"214",213,1,38,0
"215",214,1,39,0
"216",215,1,40,0
"217",216,1,41,52
"218",217,1,42,55
"219",218,1,43,0
"220",219,1,44,1217
"221",220,1,45,126
"222",221,1,46,155
"223",222,1,47,160
"224",223,1,48,476
"225",224,1,49,197
"226",225,1,50,33
"227",226,1,51,99
"228",227,1,52,24
"229",228,1,53,468
"230",229,1,54,117
"231",230,1,55,108
"232",231,1,56,225
"233",232,1,57,134
"234",233,1,58,37
"235",234,1,59,237
"236",235,1,60,77
"237",236,1,61,391
"238",237,1,62,480
"239",238,1,63,72
"240",239,1,64,169
"241",240,1,65,123
"242",241,1,66,125
"243",242,1,67,44
"244",243,1,68,40
"245",244,1,69,56
"246",245,1,70,92
"247",246,1,71,139
"248",247,1,72,50
"249",248,1,73,56
"250",249,1,74,103
"251",250,1,75,67
"252",251,1,76,24
"253",252,1,77,157
"254",253,1,78,99
"255",254,1,79,433
"256",255,1,80,79
"257",256,1,81,84
"258",257,1,82,6
"259",258,1,83,46
"260",259,1,84,14
"261",260,1,85,20
"262",261,1,86,18
"263",262,1,87,11
"264",263,1,88,0
"265",264,1,89,12
"266",265,1,90,61
"267",266,1,91,78
"268",267,1,92,231
"269",268,1,93,215
"270",269,1,94,173
"271",270,1,95,123
"272",271,1,96,107
"273",272,1,97,70
"274",273,1,98,83
"275",274,1,99,68
"276",275,1,100,39
"277",276,1,101,20
"278",277,1,102,111
"279",278,1,103,98
"280",279,1,104,14
"281",280,1,105,14
"282",281,1,106,52
"283",282,1,107,24
"284",283,1,108,140
"285",284,1,109,10
"286",285,1,110,46
"287",286,1,111,67
"288",287,1,112,41
"289",288,1,113,12
"290",289,1,114,2719
"291",290,1,115,971
"292",291,1,116,827
"293",292,1,117,668
"294",293,1,118,1602
"295",294,1,119,2382
"296",295,1,120,2272
"297",296,1,121,2852
"298",297,1,122,182
"299",298,1,123,667
"300",299,1,124,947
"301",300,1,125,827
"302",301,1,126,717
"303",302,1,127,1487
"304",303,1,128,886
"305",304,1,129,723
"306",305,1,130,288
"307",306,1,131,335
"308",307,1,132,40
"309",308,1,133,76
"310",309,1,134,73
"311",310,1,135,236
"312",311,1,136,230
"313",312,1,137,85
"314",313,1,138,42
"315",314,1,139,87
"316",315,1,140,26
"317",316,1,141,26
"318",317,1,142,36
"319",318,1,143,426
"320",319,1,144,15
"321",320,1,145,270
"322",321,1,146,10
"323",322,1,147,14
"324",323,1,148,181
"325",324,1,149,203
"326",325,1,150,35
"327",326,1,151,11
"328",327,1,152,22
"329",328,1,153,39
"330",329,1,154,217
"331",330,1,155,51
"332",331,1,156,75
"333",332,1,157,64
"334",333,1,158,39
"335",334,1,159,62
"336",335,1,160,49
"337",336,1,161,15
"338",337,1,162,14
"339",338,1,163,34
"340",339,1,164,55
"341",340,1,165,57
"342",341,1,166,7
"343",342,1,167,11
"344",343,1,168,95
"345",344,1,169,29
"346",345,1,170,20
"347",346,1,171,11
"348",347,1,172,58
"349",348,1,173,10
"350",349,1,174,12
"351",350,1,175,163
"352",351,1,176,52
"353",352,2,0,77
"354",353,2,1,40
"355",354,2,3,9
"356",355,2,4,0
"357",356,2,5,0
"358",357,2,6,29
"359",358,2,7,16
"360",359,2,8,76
"361",360,2,9,73
"362",361,2,10,58
"363",362,2,11,20
"364",363,2,12,91
"365",364,2,13,70
"366",365,2,14,141
"367",366,2,15,35
"368",367,2,16,18
"369",368,2,17,61
"370",369,2,18,194
"371",370,2,19,69
"372",371,2,20,94
"373",372,2,21,51
"374",373,2,22,41
"375",374,2,23,78
"376",375,2,24,70
"377",376,2,25,19
"378",377,2,26,38
"379",378,2,27,24
"380",379,2,28,66
"381",380,2,29,11
"382",381,2,30,34
"383",382,2,31,27
"384",383,2,32,42
"385",384,2,33,20
"386",385,2,34,18
"387",386,2,35,15
"388",387,2,36,86
"389",388,2,37,153
"390",389,2,38,0
"391",390,2,39,0
"392",391,2,40,0
"393",392,2,41,50
"394",393,2,42,63
"395",394,2,43,0
"396",395,2,44,67
"397",396,2,45,46
"398",397,2,46,13
"399",398,2,47,27
"400",399,2,48,45
"401",400,2,49,50
"402",401,2,50,50
"403",402,2,51,11
"404",403,2,52,15
"405",404,2,53,25
"406",405,2,54,11
"407",406,2,55,11
"408",407,2,56,20
"409",408,2,57,32
"410",409,2,58,41
"411",410,2,59,30
"412",411,2,60,14
"413",412,2,61,20
"414",413,2,62,64
"415",414,2,63,980
"416",415,2,64,311
"417",416,2,65,772
"418",417,2,66,1033
"419",418,2,67,124
"420",419,2,68,352
"421",420,2,69,540
"422",421,2,70,691
"423",422,2,71,107
"424",423,2,72,294
"425",424,2,73,259
"426",425,2,74,361
"427",426,2,75,322
"428",427,2,76,653
"429",428,2,77,119
"430",429,2,78,252
"431",430,2,79,146
"432",431,2,80,128
"433",432,2,81,18
"434",433,2,82,24
"435",434,2,83,26
"436",435,2,84,111
"437",436,2,85,47
"438",437,2,86,9
"439",438,2,87,22
"440",439,2,88,0
"441",440,2,89,12
"442",441,2,90,71
"443",442,2,91,9
"444",443,2,92,181
"445",444,2,93,4
"446",445,2,94,1407
"447",446,2,95,16
"448",447,2,96,79
"449",448,2,97,1066
"450",449,2,98,64
"451",450,2,99,30
"452",451,2,100,4
"453",452,2,101,12
"454",453,2,102,9
"455",454,2,103,25
"456",455,2,104,21
"457",456,2,105,12
"458",457,2,106,27
"459",458,2,107,3
"460",459,2,108,12
"461",460,2,109,9
"462",461,2,110,12
"463",462,2,111,3
"464",463,2,112,9
"465",464,2,113,18
"466",465,2,114,9
"467",466,2,115,9
"468",467,2,116,9
"469",468,2,117,9
"470",469,2,118,9
"471",470,2,119,69
"472",471,2,120,10
"473",472,2,121,9
"474",473,2,122,284
"475",474,2,123,22
"476",475,2,124,7
"477",476,2,125,39
"478",477,2,126,35
"479",478,2,127,25
"480",479,2,128,10
"481",480,2,129,21
"482",481,2,130,16
"483",482,2,131,122
"484",483,2,132,9
"485",484,2,133,15
"486",485,2,134,66
"487",486,2,135,15
"488",487,2,136,67
"489",488,2,137,64
"490",489,2,138,17
"491",490,2,139,26
"492",491,2,140,9
"493",492,2,141,12
"494",493,2,142,7
"495",494,2,143,9
"496",495,2,144,34
"497",496,2,145,26
"498",497,2,146,4
"499",498,2,147,22
"500",499,2,148,19
"501",500,2,149,48
"502",501,2,150,3
"503",502,2,151,7
"504",503,2,152,18
"505",504,2,153,9
"506",505,2,154,17
"507",506,2,155,20
"508",507,2,156,12
"509",508,2,157,9
"510",509,2,158,9
"511",510,2,159,9
"512",511,2,160,50
"513",512,2,161,14
"514",513,2,162,12
"515",514,2,163,9
"516",515,2,164,9
"517",516,2,165,17
"518",517,2,166,4
"519",518,2,167,4
"520",519,2,168,11
"521",520,2,169,6
"522",521,2,170,22
"523",522,2,171,9
"524",523,2,172,485
"525",524,2,173,435
"526",525,2,174,385
"527",526,2,175,365
"528",527,2,176,67
"529",528,3,0,159
"530",529,3,1,173
"531",530,3,2,614
"532",531,3,4,0
"533",532,3,5,0
"534",533,3,6,157
"535",534,3,7,119
"536",535,3,8,46
"537",536,3,9,244
"538",537,3,10,54
"539",538,3,11,127
"540",539,3,12,61
"541",540,3,13,102
"542",541,3,14,7
"543",542,3,15,19
"544",543,3,16,11
"545",544,3,17,45
"546",545,3,18,49
"547",546,3,19,2
"548",547,3,20,2
"549",548,3,21,1
"550",549,3,22,1
"551",550,3,23,28
"552",551,3,24,15
"553",552,3,25,40
"554",553,3,26,8
"555",554,3,27,260
"556",555,3,28,16
"557",556,3,29,9
"558",557,3,30,6
"559",558,3,31,62
"560",559,3,32,268
"561",560,3,33,9
"562",561,3,34,1
"563",562,3,35,6
"564",563,3,36,1
"565",564,3,37,0
"566",565,3,38,0
"567",566,3,39,0
"568",567,3,40,0
"569",568,3,41,18
"570",569,3,42,4
"571",570,3,43,0
"572",571,3,44,9
"573",572,3,45,11
"574",573,3,46,39
"575",574,3,47,17
"576",575,3,48,20
"577",576,3,49,2
"578",577,3,50,17
"579",578,3,51,7
"580",579,3,52,3
"581",580,3,53,29
"582",581,3,54,0
"583",582,3,55,4
"584",583,3,56,2
"585",584,3,57,11
"586",585,3,58,8
"587",586,3,59,0
"588",587,3,60,0
"589",588,3,61,47
"590",589,3,62,2
"591",590,3,63,2
"592",591,3,64,8
"593",592,3,65,42
"594",593,3,66,1
"595",594,3,67,6
"596",595,3,68,1
"597",596,3,69,8
"598",597,3,70,98
"599",598,3,71,28
"600",599,3,72,14
"601",600,3,73,25
"602",601,3,74,34
"603",602,3,75,34
"604",603,3,76,11
"605",604,3,77,18
"606",605,3,78,0
"607",606,3,79,17
"608",607,3,80,7
"609",608,3,81,3
"610",609,3,82,24
"611",610,3,83,43
"612",611,3,84,10
"613",612,3,85,35
"614",613,3,86,1
"615",614,3,87,23
"616",615,3,88,0
"617",616,3,89,3
"618",617,3,90,7
"619",618,3,91,14
"620",619,3,92,0
"621",620,3,93,4
"622",621,3,94,3
"623",622,3,95,17
"624",623,3,96,1
"625",624,3,97,29
"626",625,3,98,22
"627",626,3,99,17
"628",627,3,100,18
"629",628,3,101,8
"630",629,3,102,4
"631",630,3,103,1
"632",631,3,104,21
"633",632,3,105,53
"634",633,3,106,45
"635",634,3,107,0
"636",635,3,108,0
"637",636,3,109,8
"638",637,3,110,8
"639",638,3,111,26
"640",639,3,112,45
"641",640,3,113,8
"642",641,3,114,17
"643",642,3,115,10
"644",643,3,116,17
"645",644,3,117,8
"646",645,3,118,1
"647",646,3,119,2
"648",647,3,120,16
"649",648,3,121,8
"650",649,3,122,11
"651",650,3,123,2
"652",651,3,124,10
"653",652,3,125,8
"654",653,3,126,8
"655",654,3,127,1
"656",655,3,128,1
"657",656,3,129,0
"658",657,3,130,7
"659",658,3,131,1
"660",659,3,132,2
"661",660,3,133,1
"662",661,3,134,1
"663",662,3,135,1
"664",663,3,136,8
"665",664,3,137,1
"666",665,3,138,0
"667",666,3,139,1711
"668",667,3,140,2722
"669",668,3,141,7857
"670",669,3,142,1036
"671",670,3,143,933
"672",671,3,144,1869
"673",672,3,145,1257
"674",673,3,146,1247
"675",674,3,147,71
"676",675,3,148,296
"677",676,3,149,1020
"678",677,3,150,642
"679",678,3,151,617
"680",679,3,152,1210
"681",680,3,153,486
"682",681,3,154,432
"683",682,3,155,258
"684",683,3,156,354
"685",684,3,157,50
"686",685,3,158,128
"687",686,3,159,192
"688",687,3,160,189
"689",688,3,161,315
"690",689,3,162,109
"691",690,3,163,67
"692",691,3,164,128
"693",692,3,165,54
"694",693,3,166,52
"695",694,3,167,135
"696",695,3,168,386
"697",696,3,169,8
"698",697,3,170,197
"699",698,3,171,42
"700",699,3,172,22
"701",700,3,173,30
"702",701,3,174,113
"703",702,3,175,119
"704",703,3,176,37
"705",704,4,0,0
"706",705,4,1,0
"707",706,4,2,0
"708",707,4,3,0
"709",708,4,5,0
"710",709,4,6,0
"711",710,4,7,0
"712",711,4,8,0
"713",712,4,9,0
"714",713,4,10,0
"715",714,4,11,0
"716",715,4,12,0
"717",716,4,13,0
"718",717,4,14,0
"719",718,4,15,0
"720",719,4,16,0
"721",720,4,17,0
"722",721,4,18,0
"723",722,4,19,0
"724",723,4,20,0
"725",724,4,21,0
"726",725,4,22,0
"727",726,4,23,0
"728",727,4,24,0
"729",728,4,25,0
"730",729,4,26,0
"731",730,4,27,0
"732",731,4,28,0
"733",732,4,29,0
"734",733,4,30,0
"735",734,4,31,0
"736",735,4,32,0
"737",736,4,33,0
"738",737,4,34,0
"739",738,4,35,0
"740",739,4,36,0
"741",740,4,37,0
"742",741,4,38,0
"743",742,4,39,0
"744",743,4,40,0
"745",744,4,41,0
"746",745,4,42,0
"747",746,4,43,0
"748",747,4,44,0
"749",748,4,45,0
"750",749,4,46,0
"751",750,4,47,0
"752",751,4,48,0
"753",752,4,49,0
"754",753,4,50,0
"755",754,4,51,0
"756",755,4,52,0
"757",756,4,53,0
"758",757,4,54,0
"759",758,4,55,0
"760",759,4,56,0
"761",760,4,57,0
"762",761,4,58,0
"763",762,4,59,0
"764",763,4,60,0
"765",764,4,61,0
"766",765,4,62,0
"767",766,4,63,0
"768",767,4,64,0
"769",768,4,65,0
"770",769,4,66,0
"771",770,4,67,0
"772",771,4,68,0
"773",772,4,69,0
"774",773,4,70,0
"775",774,4,71,0
"776",775,4,72,0
"777",776,4,73,0
"778",777,4,74,0
"779",778,4,75,0
"780",779,4,76,0
"781",780,4,77,0
"782",781,4,78,0
"783",782,4,79,0
"784",783,4,80,0
"785",784,4,81,0
"786",785,4,82,0
"787",786,4,83,0
"788",787,4,84,0
"789",788,4,85,0
"790",789,4,86,0
"791",790,4,87,0
"792",791,4,88,0
"793",792,4,89,0
"794",793,4,90,0
"795",794,4,91,0
"796",795,4,92,0
"797",796,4,93,0
"798",797,4,94,0
"799",798,4,95,0
"800",799,4,96,0
"801",800,4,97,0
"802",801,4,98,0
"803",802,4,99,0
"804",803,4,100,0
"805",804,4,101,0
"806",805,4,102,0
"807",806,4,103,0
