,STATE,ZCTA5,GEOID
9554,36,10001,36061005800
9555,36,10001,36061007600
9556,36,10001,36061009100
9557,36,10001,36061009300
9558,36,10001,36061009500
9559,36,10001,36061009700
9560,36,10001,36061009900
9561,36,10001,36061010100
9562,36,10001,36061010300
9563,36,10001,36061010900
9564,36,10001,36061011100
9565,36,10002,36061000201
9566,36,10002,36061000202
9567,36,10002,36061000600
9568,36,10002,36061000800
9569,36,10002,36061001001
9570,36,10002,36061001002
9571,36,10002,36061001200
9572,36,10002,36061001401
9573,36,10002,36061001402
9574,36,10002,36061001600
9575,36,10002,36061001800
9576,36,10002,36061002000
9577,36,10002,36061002201
9578,36,10002,36061003001
9579,36,10002,36061003601
9580,36,10003,36061003602
9581,36,10003,36061003800
9582,36,10003,36061004000
9583,36,10003,36061004200
9584,36,10003,36061004800
9585,36,10003,36061005000
9586,36,10003,36061005200
9587,36,10003,36061005502
9588,36,10003,36061005700
9589,36,10003,36061005900
9590,36,10003,36061006100
9591,36,10003,36061006400
9592,36,10003,36061006500
9593,36,10004,36061000100
9594,36,10004,36061000500
9595,36,10004,36061000700
9596,36,10004,36061000900
9597,36,10004,36061001300
9598,36,10004,36061001502
9599,36,10004,36061031704
9600,36,10004,36061031900
9601,36,10005,36061000700
9602,36,10005,36061000900
9603,36,10005,36061001502
9604,36,10006,36061001300
9605,36,10007,36061001300
9606,36,10007,36061002100
9607,36,10007,36061002900
9608,36,10007,36061003100
9609,36,10007,36061003300
9610,36,10009,36061002000
9611,36,10009,36061002202
9612,36,10009,36061002400
9613,36,10009,36061002601
9614,36,10009,36061002602
9615,36,10009,36061002800
9616,36,10009,36061003002
9617,36,10009,36061003200
9618,36,10009,36061003400
9619,36,10009,36061004400
9620,36,10010,36061005000
9621,36,10010,36061005200
9622,36,10010,36061005400
9623,36,10010,36061005600
9624,36,10010,36061005800
9625,36,10010,36061006000
9626,36,10010,36061006200
9627,36,10010,36061006400
9628,36,10010,36061006600
9629,36,10010,36061006800
9630,36,10011,36061005400
9631,36,10011,36061006300
9632,36,10011,36061006500
9633,36,10011,36061007100
9634,36,10011,36061007700
9635,36,10011,36061008100
9636,36,10011,36061008300
9637,36,10011,36061008700
9638,36,10011,36061008900
9639,36,10011,36061009100
9640,36,10011,36061009300
9641,36,10011,36061009900
9642,36,10012,36061003700
9643,36,10012,36061004100
9644,36,10012,36061004300
9645,36,10012,36061004500
9646,36,10012,36061004700
9647,36,10012,36061004900
9648,36,10012,36061005501
9649,36,10012,36061005502
9650,36,10012,36061006500
9651,36,10013,36061002100
9652,36,10013,36061002900
9653,36,10013,36061003100
9654,36,10013,36061003300
9655,36,10013,36061003700
9656,36,10013,36061003900
9657,36,10013,36061004100
9658,36,10013,36061004500
9659,36,10013,36061004700
9660,36,10014,36061003700
9661,36,10014,36061006700
9662,36,10014,36061006900
9663,36,10014,36061007100
9664,36,10014,36061007300
9665,36,10014,36061007500
9666,36,10014,36061007700
9667,36,10014,36061007900
9668,36,10014,36061008300
9669,36,10016,36061005600
9670,36,10016,36061006200
9671,36,10016,36061006600
9672,36,10016,36061006800
9673,36,10016,36061007000
9674,36,10016,36061007200
9675,36,10016,36061007400
9676,36,10016,36061007800
9677,36,10016,36061008000
9678,36,10016,36061008200
9679,36,10016,36061008601
9680,36,10016,36061008800
9681,36,10017,36061008000
9682,36,10017,36061008200
9683,36,10017,36061008601
9684,36,10017,36061008602
9685,36,10017,36061008603
9686,36,10017,36061008800
9687,36,10017,36061009000
9688,36,10017,36061009200
9689,36,10017,36061009400
9690,36,10017,36061009800
9691,36,10017,36061010000
9692,36,10018,36061008400
9693,36,10018,36061009900
9694,36,10018,36061010900
9695,36,10018,36061011100
9696,36,10018,36061011300
9697,36,10018,36061011500
9698,36,10018,36061011700
9699,36,10019,36061010400
9700,36,10019,36061011201
9701,36,10019,36061012500
9702,36,10019,36061012700
9703,36,10019,36061012900
9704,36,10019,36061013100
9705,36,10019,36061013300
9706,36,10019,36061013500
9707,36,10019,36061013700
9708,36,10019,36061013900
9709,36,10019,36061014500
9710,36,10019,36061014700
9711,36,10019,36061015100
9715,36,10021,36061010602
9716,36,10021,36061011600
9717,36,10021,36061011800
9718,36,10021,36061012000
9719,36,10021,36061012200
9720,36,10021,36061012400
9721,36,10021,36061012600
9722,36,10021,36061012800
9723,36,10021,36061013000
9724,36,10021,36061013200
9725,36,10021,36061013400
9726,36,10022,36061008603
9727,36,10022,36061009800
